,esID,paperID,year,first_author,authors,journal,title,species,order,parent,lifestage,trait,low_protein,low_sd,var_LP,n_LP,high_protein,high_sd,var_HP,n_HP,var_type,result,diet.manip,notes,X,high_protein_asin,low_protein_asin,high_sd_transform,low_sd_transform,lnRR,var
1,5,3,2014,Auld & Henkel,Auld & Henkel,Ecology and Evolution,"Diet alters delayed selfing, inbreeding depression, and reproductive senescence in a freshwater snail",Physa acuta,Basommatophora,female,adult,% egg hatch,79.2,38.4,3.2,144,51.5,49.2,4.1,144,se, -,lettuce vs protein rich algae,total 578 snails across 4 treatments,,0.800400414,1.097221969,0.49222155,0.473049917,-0.315424661,0.003234406
2,6,4,2006,Berkebile et al,"Berkebile, Sagel, Skoda & Foster",Neotropical Entomology,Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,mixed sex,adult,% egg hatch,70.11,23.08462692,3.65,40,67,20.04884037,3.17,40,se,nd,corn syrup vs blood,at 29.5C,,0.958856612,0.992357415,0.213189048,0.25213894,-0.034341794,0.002708642
3,7,4,2006,Berkebile et al,"Berkebile, Sagel, Skoda & Foster",Neotropical Entomology,Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,mixed sex,adult,% egg hatch,15.33,27.63830675,4.37,40,23.33,43.89241392,6.94,40,se,nd,corn syrup vs blood,"different experiment, 37C",,0.504090635,0.402299661,0.518906809,0.383570837,0.225558846,0.01047434
4,8,5,2016,Bonduriansky et al,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus angusticollis,Diptera,female,development,% egg hatch,66,30.89,30.89,15,78.75,18.48,30.89,12,sd, +,nut geo design,*calc from raw data,,1.091700237,0.948262907,0.22587451,0.326044206,0.140859819,0.012963207
5,9,5,2016,Bonduriansky et al,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus angusticollis,Diptera,male,development,% egg hatch,73.1,28.35,28.35,21,62.33,32.12,28.35,15,sd, -,nut geo design,*calc from raw data,,0.90998333,1.02552265,0.33143561,0.319659959,-0.119531384,0.014124899
6,10,6,2012,Cahenzli & Erhardt,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha pamphilus,Lepidoptera,female,development,% egg hatch,85,13.26649916,4,11,88,10.81665383,3,13,se,nd,fertilised vs unfertilised plants,used data from AA adult diet,,1.217054721,1.173096912,0.166429756,0.185768146,0.036786592,0.004762867
7,11,6,2012,Cahenzli & Erhardt,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha pamphilus,Lepidoptera,female,adult,% egg hatch,82,20,5,16,88,10.81665383,3,13,se,nd,AA supplemented nectar,used data from High larval diet,note - interactive effect with time - hatching success of low protein adult diet sharp decrease in older ages,1.217054721,1.132647296,0.166429756,0.260289603,0.071876144,0.007246337
8,15,9,2003,Dam & Lopes,Dam & Lopes,Journal of Experimental Marine Biology and Ecology,"Omnivory in the calanoid copepod Temora longicornis: feeding, egg production and egg hatching rates",Temora longicornis,Calanoida,mixed sex,adult,% egg hatch,27.8,14.69693846,6,6,23.2,10.28785692,4.2,6,se,nd,"different diatoms. Nitrogen content measured. T & H low P, U high P","Compared T to U in ""high"". Data from Fig 7. Not confident about n",,0.502552248,0.555369207,0.121862566,0.164023428,-0.099933519,0.006892729
9,16,9,2003,Dam & Lopes,Dam & Lopes,Journal of Experimental Marine Biology and Ecology,"Omnivory in the calanoid copepod Temora longicornis: feeding, egg production and egg hatching rates",Temora longicornis,Calanoida,mixed sex,adult,% egg hatch,16,17.39137717,7.1,6,31.9,30.12872384,12.3,6,se,nd,"different diatoms. Nitrogen content measured. T & H low P, U high P","Compared T to U in ""low"". Data from Fig 7",,0.600191906,0.411516846,0.323207808,0.237194352,0.37739949,0.026958325
10,17,10,2016,El-Wahab et al,"El Wahab, Huda, Elbehery & Farag",Egyptian Journal of Biological Pest Control,Evaluation of some honey bee products as artificial diets for rearing the parasitoid,Bracon hebetor,Hymenoptera,mixed sex,adult,% egg hatch,91.25,13.59779394,4.3,10,96.65,4.74341649,1.5,10,se,nd,bee honey vs bee honey+pollen,,,1.386728637,1.270499263,0.131806835,0.240612395,0.087537531,0.007404234
