esID,paperID,year,first_author,authors,journal,title,species,order,parent,lifestage,trait,low_protein,low_sd,var_LP,n_LP,high_protein,var_HP,high_sd,n_HP,var_type,result,diet manip,notes,
1,1,2011,Abdel-Samad,Abdel-Samad,Egyptian Journal of Biological Pest Control,Effect of Adult Nutrition on some Biological Parameters of the Green Lacewing Chrysoperla carnea Stephens (Neuroptera: Chrysopidae),Chrysoperla carnea,Neuroptera,mixed sex,adult,egg hatch %,55.1,,,3,75.5,,,3,se? of absolute #s given in text. Don't know how to convert to %, +,A vs B: sugar vs sugar+pollen,,
2,1,2011,Abdel-Samad,Abdel-Samad,Egyptian Journal of Biological Pest Control,Effect of Adult Nutrition on some Biological Parameters of the Green Lacewing Chrysoperla carnea Stephens (Neuroptera: Chrysopidae),Chrysoperla carnea,Neuroptera,mixed sex,adult,egg hatch %,80.4,,,3,89.3,,,3,se? of absolute #s given in text. Don't know how to convert to %, +,C vs D: royal jelly vs royal,,
3,2,2006,Augustin & Boersma,Augustin & Boersma,Journal of Plankton Research,Effects of nitrogen stressed algae on different Acartia species,Acartia tonsa,Calanoida,mixed sex,adult,% egg hatch,98.5,,1.2,,90.7,1.5,,,se,nd,algae cultured under nitrogen depleted condition,data from Fig 5,
4,2,2006,Augustin & Boersma,Augustin & Boersma,Journal of Plankton Research,Effects of nitrogen stressed algae on different Acartia species,Acartia clausii,Calanoida,mixed sex,adult,% egg hatch,82.6,,4.5,,76.3,9.8,,,se,nd,algae cultured under nitrogen depleted condition,data from Fig 5,
5,3,2014,Auld & Henkel,Auld & Henkel,Ecology and Evolution,"Diet alters delayed selfing, inbreeding depression, and reproductive senescence in a freshwater snail",Physa acuta,Basommatophora,female,adult,% egg hatch,79.2,38.4,3.2,144,51.5,4.1,49.2,144,se, -,lettuce vs protein rich algae,total 578 snails across 4 treatments,
6,4,2006,Berkebile et al,"Berkebile, Sagel, Skoda & Foster",Neotropical Entomology,Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,mixed sex,adult,% egg hatch,70.11,23.08462692,3.65,40,67,3.17,20.04884037,40,se,nd,corn syrup vs blood,at 29.5C,
7,4,2006,Berkebile et al,"Berkebile, Sagel, Skoda & Foster",Neotropical Entomology,Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae),Cochliomyia hominivorax,Diptera,mixed sex,adult,% egg hatch,15.33,27.63830675,4.37,40,23.33,6.94,43.89241392,40,se,nd,corn syrup vs blood,"different experiment, 37C",
8,5,2016,Bonduriansky et al,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus angusticollis,Diptera,female,development,% egg hatch,66,30.89,30.89,15,78.75,30.89,18.48,12,sd, +,nut geo design,*calc from raw data,
9,5,2016,Bonduriansky et al,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus angusticollis,Diptera,male,development,% egg hatch,73.1,28.35,28.35,21,62.33,28.35,32.12,15,sd, -,nut geo design,*calc from raw data,
10,6,2012,Cahenzli & Erhardt,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha pamphilus,Lepidoptera,female,development,% egg hatch,85,13.26649916,4,11,88,3,10.81665383,13,se,nd,fertilised vs unfertilised plants,used data from AA adult diet,
