esID,paperID,year,first_author,authors,journal,title,species,order,parent,lifestage,trait,low_protein,low_sd,var_LP,n_LP,high_protein,high_sd,var_HP,n_HP,var_type,result,diet manip,notes,
5,3,2014,Auld & Henkel,Auld & Henkel,Ecology and Evolution,"Diet alters delayed selfing, inbreeding depression, and reproductive senescence in a freshwater snail",Physa_acuta,Basommatophora,female,adult,% egg hatch,79.2,38.4,3.2,144,51.5,49.2,4.1,144,se, -,lettuce vs protein rich algae,total 578 snails across 4 treatments,
8,5,2016,Bonduriansky et al,"Bonduriansky, RunagallMcNaull & Crean",Functional Ecology,The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly,Telostylinus_angusticollis,Diptera,female,development,% egg hatch,66,30.89,30.89,15,78.75,18.48,30.89,12,sd, +,nut geo design,*calc from raw data,
10,6,2012,Cahenzli & Erhardt,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha_pamphilus,Lepidoptera,female,development,% egg hatch,85,13.26649916,4,11,88,10.81665383,3,13,se,nd,fertilised vs unfertilised plants,used data from AA adult diet,
11,6,2012,Cahenzli & Erhardt,Cahenzli & Erhardt,Oecologia,Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies,Coenonympha_pamphilus,Lepidoptera,female,adult,% egg hatch,82,20,5,16,88,10.81665383,3,13,se,nd,AA supplemented nectar,used data from High larval diet,note - interactive effect with time - hatching success of low protein adult diet sharp decrease in older ages
19,12,2008,Geister et al,"Geister, Lorenz, Hoffmann & Fischer",Fronteirs in Zoology,"Adult nutrition and butterfly fitness: effects of diet quality on reproductive output, egg composition, and egg hatching success",Bicyclus_anynana,Lepidoptera,female,adult,% egg hatch,78,,3.5,,67.7,,4.9,,se,nd,sugar vs sugar+yeast,"text says no diff across all 4 groups, but can see a noticable drop with addition of yeast. Data from Fig 1 Early (first measure taken). Can't find sample size",
20,13,1988,Hare & Bethke,Hare & Bethke,Entomologia experimentalis et applicata,Egg production and survival of the citrus red mite on an artificial feeding system,Panonychus_citri,Trombidiformes,female,adult,% egg hatch,67.6,,,5,64.3,,,5,,nd,sugar vs sugar+BSA,,
23,15,2003,Helland et al,Helland et al,Marine Biology,"Effects of season and maternal food on Calanus finmarchicus reproduction, with emphasis on free amino acids",Calanus_finmarchicus,Calanoida,female,adult,% egg hatch,88,6.7,6.7,40,86.4,40,8,8,sd,nd,Spring ZO (low) vs SZ1 (high),Data from Fig 4,
25,17,1994,Jónasdóttir,Jonasdottir,Marine Biology,Effects of food quality on the reproductive success of Acartia tonsa and Acartia hudsonica: laboratory observations,Acartia_tonsa,Calanoida,female,adult,% egg hatch,96.97,,,,94.84,,,,,nd,different algal cultures. Protein content measured.,,
26,17,1994,Jónasdóttir,Jonasdottir,Marine Biology,Effects of food quality on the reproductive success of Acartia tonsa and Acartia hudsonica: laboratory observations,Acartia_hudsonica,Calanoida,female,adult,% egg hatch,89.17,,,,34,,,,,nd,different algal cultures. Protein content measured.,,
27,18,2003,Mevi-Schütz & Erhardt,Mevi-Schutz & Erhardt,Basic Appl Ecol,Effects of nectar amino acids on fecundity of the wall brown butterfly (Lasiommata megera L.),Lasiommata_megera,Lepidoptera,female,adult,% egg hatch,79,27.49545417,6,21,71,24.49489743,5,24,se,nd,fed a nectar mimic containing amino acids or a nectar mimic without amino acids,,
31,21,2021,Nyasembe et al,Nyasembe et al,Parasites & Vectors,Plant nutrient quality impacts survival and reproductive fitness of the dengue vector Aedes aegypti,Aedes_aegypti,Diptera,female,adult,% egg hatch,25,40.74074074,,9,60.2,18.07407407,,9,IQR,nd,"blood (high protein, 15 blood meals) vs blood + glucose (low protein, blood only on 3 days)","Median IQR from Fig 4. LP - 5, 10, 60   HP - 45.6, 65, 70",
32,21,2021,Nyasembe et al,Nyasembe et al,Parasites & Vectors,Plant nutrient quality impacts survival and reproductive fitness of the dengue vector Aedes aegypti,Aedes_aegypti,Diptera,female,adult,% egg hatch,26.28333333,40.7037037,,9,60.16666667,15.25925926,,9,IQR,nd,"blood (high protein, 15 blood meals) vs blood + glucose (low protein, blood only on 3 days)","Median IQR from Fig 4. LP - 5.25, 13.4, 60.2   HP - 48.3, 63.3, 68.9",
42,26,2017,Wilder & Schneider,Wilder & Schneider,J Insect Physiology,Micronutrient consumption by female Argiope bruennichi affects offspring survival,Argiope_bruennichi,Araneae,female,adult,% egg hatch,68,26.83281573,6,20,75,30.5122926,7,19,se,nd,control vs EAA,hatching success does not equal # hatching/# eggs?,
