"","esID","paperID","year","first_author","authors","journal","title","species","order","parent","lifestage","trait","low_protein","low_sd","var_LP","n_LP","high_protein","high_sd","var_HP","n_HP","var_type","result","diet.manip","notes","X","high_protein_asin","low_protein_asin","high_sd_transform","low_sd_transform","lnRR","var"
"1",5,3,2014,"Auld & Henkel","Auld & Henkel","Ecology and Evolution","Diet alters delayed selfing, inbreeding depression, and reproductive senescence in a freshwater snail","Physa acuta","Basommatophora","female","adult","% egg hatch",79.2,38.4,3.2,144,51.5,49.2,4.1,144,"se"," -","lettuce vs protein rich algae","total 578 snails across 4 treatments","",0.800400414309187,1.09722196851923,0.492221549557172,0.473049916791266,-0.315424660872978,0.00323440570983277
"2",6,4,2006,"Berkebile et al","Berkebile, Sagel, Skoda & Foster","Neotropical Entomology","Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae)","Cochliomyia hominivorax","Diptera","mixed sex","adult","% egg hatch",70.11,23.08462692,3.65,40,67,20.04884037,3.17,40,"se","nd","corn syrup vs blood","at 29.5C","",0.958856612161029,0.992357415317614,0.213189048383628,0.252138940395593,-0.0343417944682162,0.00270864192399296
"3",7,4,2006,"Berkebile et al","Berkebile, Sagel, Skoda & Foster","Neotropical Entomology","Laboratory Environment Effects on the Reproduction and Mortality of Adult Screwworm (Diptera: Calliphoridae)","Cochliomyia hominivorax","Diptera","mixed sex","adult","% egg hatch",15.33,27.63830675,4.37,40,23.33,43.89241392,6.94,40,"se","nd","corn syrup vs blood","different experiment, 37C","",0.5040906346261,0.402299661248048,0.518906808921077,0.383570836504337,0.225558845593898,0.0104743396870859
"4",8,5,2016,"Bonduriansky et al","Bonduriansky, RunagallMcNaull & Crean","Functional Ecology","The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly","Telostylinus angusticollis","Diptera","female","development","% egg hatch",66,30.89,30.89,15,78.75,18.48,30.89,12,"sd"," +","nut geo design","*calc from raw data","",1.09170023742176,0.948262907044763,0.225874509667751,0.326044205553549,0.14085981885216,0.0129632073727374
"5",9,5,2016,"Bonduriansky et al","Bonduriansky, RunagallMcNaull & Crean","Functional Ecology","The nutritional geometry of parental effects: maternal and paternal macronutrient consumption and offspring phenotype in a neriid fly","Telostylinus angusticollis","Diptera","male","development","% egg hatch",73.1,28.35,28.35,21,62.33,32.12,28.35,15,"sd"," -","nut geo design","*calc from raw data","",0.909983330137543,1.02552265045343,0.331435609598928,0.31965995875545,-0.119531383684664,0.0141248991201659
"6",10,6,2012,"Cahenzli & Erhardt","Cahenzli & Erhardt","Oecologia","Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies","Coenonympha pamphilus","Lepidoptera","female","development","% egg hatch",85,13.26649916,4,11,88,10.81665383,3,13,"se","nd","fertilised vs unfertilised plants","used data from AA adult diet","",1.21705472090523,1.17309691170282,0.166429755917751,0.185768145585223,0.0367865918311073,0.0047628666660815
"7",11,6,2012,"Cahenzli & Erhardt","Cahenzli & Erhardt","Oecologia","Enhancing offspring quality or quantity? Different ways for using nectar amino acids in female butterflies","Coenonympha pamphilus","Lepidoptera","female","adult","% egg hatch",82,20,5,16,88,10.81665383,3,13,"se","nd","AA supplemented nectar","used data from High larval diet","note - interactive effect with time - hatching success of low protein adult diet sharp decrease in older ages",1.21705472090523,1.13264729621073,0.166429755917751,0.260289603147677,0.0718761439653588,0.00724633704217239
"8",15,9,2003,"Dam & Lopes","Dam & Lopes","Journal of Experimental Marine Biology and Ecology","Omnivory in the calanoid copepod Temora longicornis: feeding, egg production and egg hatching rates","Temora longicornis","Calanoida","mixed sex","adult","% egg hatch",27.8,14.69693846,6,6,23.2,10.28785692,4.2,6,"se","nd","different diatoms. Nitrogen content measured. T & H low P, U high P","Compared T to U in ""high"". Data from Fig 7. Not confident about n","",0.502552248138811,0.555369206512023,0.12186256568237,0.164023427657366,-0.099933518609309,0.00689272856250762
"9",16,9,2003,"Dam & Lopes","Dam & Lopes","Journal of Experimental Marine Biology and Ecology","Omnivory in the calanoid copepod Temora longicornis: feeding, egg production and egg hatching rates","Temora longicornis","Calanoida","mixed sex","adult","% egg hatch",16,17.39137717,7.1,6,31.9,30.12872384,12.3,6,"se","nd","different diatoms. Nitrogen content measured. T & H low P, U high P","Compared T to U in ""low"". Data from Fig 7","",0.600191906005382,0.411516846067488,0.323207807772304,0.237194352145988,0.377399489944696,0.0269583251465432
"10",17,10,2016,"El-Wahab et al","El Wahab, Huda, Elbehery & Farag","Egyptian Journal of Biological Pest Control","Evaluation of some honey bee products as artificial diets for rearing the parasitoid","Bracon hebetor","Hymenoptera","mixed sex","adult","% egg hatch",91.25,13.59779394,4.3,10,96.65,4.74341649,1.5,10,"se","nd","bee honey vs bee honey+pollen","","",1.3867286370435,1.27049926336187,0.131806834687302,0.240612395491367,0.0875375308059287,0.00740423356288254
